[0113/153038.310:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.311:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/couch_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.311:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/couch_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.336:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.339:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/table_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.339:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/table_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.368:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.369:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_7.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.370:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_7.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.389:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
